,count,mean,std,min,25%,50%,75%,max,missing_values,missing_percentage,toc_pnwa_mean_1_3,toc_pnwa_min_1_3,toc_pnwa_max_1_3,toc_pnwa_max_min_1_3,toc_pnwa_mean_4_6,toc_pnwa_min_4_6,toc_pnwa_max_4_6,toc_pnwa_max_min_4_6,toc_pnwa_mean_7_9,toc_pnwa_min_7_9,toc_pnwa_max_7_9,toc_pnwa_max_min_7_9,toc_pnwa_mean_10_12,toc_pnwa_min_10_12,toc_pnwa_max_10_12,toc_pnwa_max_min_10_12,toc_pnwa_mean_13_15,toc_pnwa_min_13_15,toc_pnwa_max_13_15,toc_pnwa_max_min_13_15,toc_pnwa_mean_load_1_3,toc_pnwa_min_load_1_3,toc_pnwa_max_load_1_3,toc_pnwa_max_min_load_1_3,toc_pnwa_mean_load_4_6,toc_pnwa_min_load_4_6,toc_pnwa_max_load_4_6,toc_pnwa_max_min_load_4_6,toc_pnwa_mean_load_7_9,toc_pnwa_min_load_7_9,toc_pnwa_max_load_7_9,toc_pnwa_max_min_load_7_9,toc_pnwa_mean_load_10_12,toc_pnwa_min_load_10_12,toc_pnwa_max_load_10_12,toc_pnwa_max_min_load_10_12,toc_pnwa_mean_load_13_15,toc_pnwa_min_load_13_15,toc_pnwa_max_load_13_15,toc_pnwa_max_min_load_13_15,toc_wmth_mean_1_3,toc_wmth_min_1_3,toc_wmth_max_1_3,toc_wmth_max_min_1_3,toc_wmth_mean_4_6,toc_wmth_min_4_6,toc_wmth_max_4_6,toc_wmth_max_min_4_6,toc_wmth_mean_7_9,toc_wmth_min_7_9,toc_wmth_max_7_9,toc_wmth_max_min_7_9,toc_wmth_mean_10_12,toc_wmth_min_10_12,toc_wmth_max_10_12,toc_wmth_max_min_10_12,toc_wmth_mean_13_15,toc_wmth_min_13_15,toc_wmth_max_13_15,toc_wmth_max_min_13_15,toc_wmth_mean_load_1_3,toc_wmth_min_load_1_3,toc_wmth_max_load_1_3,toc_wmth_max_min_load_1_3,toc_wmth_mean_load_4_6,toc_wmth_min_load_4_6,toc_wmth_max_load_4_6,toc_wmth_max_min_load_4_6,toc_wmth_mean_load_7_9,toc_wmth_min_load_7_9,toc_wmth_max_load_7_9,toc_wmth_max_min_load_7_9,toc_wmth_mean_load_10_12,toc_wmth_min_load_10_12,toc_wmth_max_load_10_12,toc_wmth_max_min_load_10_12,toc_wmth_mean_load_13_15,toc_wmth_min_load_13_15,toc_wmth_max_load_13_15,toc_wmth_max_min_load_13_15,dschrg_pnwa_mean_1_3,dschrg_pnwa_min_1_3,dschrgpnwa_max_1_3,dschrgpnwa_max_min_1_3,dschrg_pnwa_mean_4_6,dschrg_pnwa_min_4_6,dschrgpnwa_max_4_6,dschrgpnwa_max_min_4_6,dschrg_pnwa_mean_7_9,dschrg_pnwa_min_7_9,dschrgpnwa_max_7_9,dschrgpnwa_max_min_7_9,dschrg_pnwa_mean_10_12,dschrg_pnwa_min_10_12,dschrgpnwa_max_10_12,dschrgpnwa_max_min_10_12,dschrg_pnwa_mean_13_15,dschrg_pnwa_min_13_15,dschrgpnwa_max_13_15,dschrgpnwa_max_min_13_15,dschrg_wmth_mean_1_3,dschrg_wmth_min_1_3,dschrgwmth_max_1_3,dschrgwmth_max_min_1_3,dschrg_wmth_mean_4_6,dschrg_wmth_min_4_6,dschrgwmth_max_4_6,dschrgwmth_max_min_4_6,dschrg_wmth_mean_7_9,dschrg_wmth_min_7_9,dschrgwmth_max_7_9,dschrgwmth_max_min_7_9,dschrg_wmth_mean_10_12,dschrg_wmth_min_10_12,dschrgwmth_max_10_12,dschrgwmth_max_min_10_12,dschrg_wmth_mean_13_15,dschrg_wmth_min_13_15,dschrgwmth_max_13_15,dschrgwmth_max_min_13_15
toc_pnwa_mean_1_3,8318.0,11.414148212711389,0.7532778853460913,7.956666666666668,11.130775,11.373850000000001,11.600699999999998,19.652,786,8.633567662565905,1.0,0.8120347441190795,0.9225096908886501,0.4995622017750487,0.6968851600960563,0.5714369486184119,0.6464750630211623,0.348309204160991,0.5864741297059372,0.5309675663082761,0.5091543530893212,0.21372880885758203,0.4576581172763532,0.4555256223002008,0.37462273664647305,0.10868620611469566,0.4088105447737743,0.4291899445981509,0.31841670110192594,0.06089973834337774,0.40845529712474665,0.3703205156263875,0.44323831178144624,0.4889610962993563,0.37320798973441655,0.34580233690998274,0.3989269686293286,0.3637223653200908,0.361599020272387,0.34396047062045915,0.37657390907406096,0.23598001798880697,0.34673436112645656,0.3366788584736395,0.35486036761781853,0.14579354750506685,0.34275008519377703,0.3355128086554498,0.3475163478566146,0.10719325726275962,0.3412128933541331,0.34062475938982023,0.3415170793950946,0.1748815949398299,0.3634177641820557,0.35957344683205417,0.3678555086176001,0.24600748458332083,0.3816161211233444,0.38011094302160653,0.382360459292064,0.19400454031748013,0.3784972378441177,0.37902592066980484,0.3766488327924676,0.1452762300555601,0.37054655734814634,0.37047681419561745,0.36976005250638777,0.1539429113883994,0.1447346121829832,0.1442333265716036,0.14538336229726712,0.10837716456740379,0.15677150117228714,0.15562843078673494,0.15826692920935567,0.15540496401038076,0.1668923121655116,0.1656911148968665,0.16809472368294345,0.15428017550613984,0.16994476460149133,0.1693331490666746,0.17042078059861523,0.11966488217185775,0.16992474042341063,0.16954627334055147,0.17028799868356811,0.11002524881521254,0.32506964680982847,0.3211999143389359,0.32849667794723825,0.004583649401202395,0.32644487940168304,0.32266059963085536,0.3298372565555509,0.0028069664850262875,0.3275189582291327,0.3238204912183379,0.33071495157018016,-0.0015329706778260282,0.32856925890401456,0.3248725328071928,0.33168212284259857,-0.0026874285500119066,0.3299386467695203,0.3258895984801721,0.33337440300348203,0.005847070666494218,0.11624700190799364,0.11560962844537995,0.11684642193283284,0.11875109990085062,0.11647786631586389,0.11596801938650543,0.11697483275461433,0.10775163172812344,0.11744357378506269,0.11686253349946668,0.11805144042038695,0.11649994887839518,0.11824127815693669,0.11776509093124969,0.1187128426486766,0.1058292965773905,0.11898205557229896,0.11879121887920073,0.119204977191603,0.08189949337447558
toc_pnwa_min_1_3,8318.0,11.281615977398413,0.6598084385949068,1.3,11.093,11.32985,11.535525,18.421,786,8.633567662565905,0.8120347441190795,1.0,0.5576748849693879,-0.07938683801316052,0.5391181785134538,0.5353084396043367,0.4437216143025973,0.13190462562147057,0.5322596984149476,0.564180348248866,0.41121195331145083,0.07125643371942725,0.447308418671896,0.49244417784349187,0.3327005183857091,0.030704087922022276,0.43469646642010634,0.49014403238358667,0.31537883726154897,0.011606997666245641,0.36654721654478783,0.37068734457590946,0.3642618944850508,-0.0036460249111470873,0.33336489451575335,0.31949086571919383,0.3459865852158828,0.19583381747758477,0.3352647874250521,0.32559013579408747,0.34270344754132964,0.1379959575200662,0.32626812127570476,0.31863415408006734,0.3315188865965942,0.11115824415534387,0.3272072850335399,0.32062948043887235,0.33118618521122434,0.09676493064090405,0.14168007953665926,0.14050171264240854,0.1423309957299564,0.08591675046598368,0.15501328401083306,0.1513644639680325,0.16015965686839242,0.15316311595169058,0.17063254085109975,0.17331338610302513,0.1678540515652713,0.028151465470848416,0.16517204818234438,0.16513974398385486,0.16403933345065816,0.06268950049176696,0.15917410764006773,0.16045465616053683,0.15797361628942827,0.04632764615385983,-0.01345016492078945,-0.013923698751634007,-0.012868378386549546,0.022098229840014482,-0.006505781691343631,-0.007424630726241627,-0.005187416186383858,0.058214754859185994,0.0010020115887891543,0.0009340679834419072,0.001088489785625369,0.0047825067168384685,0.0016873871768276494,0.0011465682817566416,0.002087327466226191,0.026823193042919576,0.0007670629133627762,0.0008453945129584181,0.000831977164864308,7.082996048275314e-05,0.3110415504215529,0.30567665165463725,0.3159236641853405,0.04784723087002225,0.31179389493230303,0.30639500673349396,0.31680077072193247,0.0500088533197041,0.3125915451898317,0.30725079834247065,0.31744419995755707,0.046617133400343354,0.3134576139646062,0.30802877788780636,0.3183428695051528,0.048267962567530104,0.314889108609501,0.3092885790070549,0.31988572326800946,0.05156419207704674,-0.005764585510461255,-0.006401852393665338,-0.005145669724327688,0.05472954942599844,-0.00644536919342407,-0.006912971656718442,-0.00598929824035724,0.03876938492704607,-0.006846474067365609,-0.00729321362598139,-0.006385432461095697,0.037836803112967304,-0.007361401228183102,-0.00785428817510283,-0.006865448665709749,0.04130905956430365,-0.00800953451067975,-0.008202738305695111,-0.007820860805279193,0.013186338228956979
toc_pnwa_max_1_3,8318.0,11.561789095936524,1.0577594077174475,9.867,11.168,11.4087,11.6577,20.711,786,8.633567662565905,0.9225096908886501,0.5576748849693879,1.0,0.7831676599980844,0.679669498560405,0.49892125645653157,0.6652268070651763,0.4251349195441364,0.5087167945812062,0.40373832803209325,0.479592438766246,0.27351009628871814,0.38416284940336276,0.3464900515365675,0.33909556732217394,0.14768028652147205,0.3189487575430095,0.30967442318507515,0.26617337272616637,0.08767431521241385,0.3581666996557573,0.30410673127516,0.41372893448259485,0.71038404803258,0.3312492498270046,0.30029332245599266,0.36033918251301245,0.4022216442257015,0.3113274489911513,0.2914699151542267,0.32929263224015143,0.26318173261752087,0.29636855173449433,0.28609771478966334,0.30523170162933333,0.14675045890333382,0.28968591723982523,0.28307978070333184,0.29445894644307263,0.09820650557370669,0.3879579682784478,0.3880722366167788,0.3875065221224791,0.1843183704881079,0.4049767135768064,0.4022256623073522,0.40790181290425587,0.24165980834353915,0.4194409659843596,0.41565396031976565,0.4232065306352021,0.25950374399120535,0.4187614157369518,0.4198522609145895,0.4165714422756544,0.1548539650893068,0.41056993852498247,0.4100709455267654,0.4099184238932941,0.17640205650914142,0.20713405940753818,0.20676159989944434,0.20761373244717496,0.13312613536903695,0.21772985138808956,0.2167318492107387,0.2190551213678657,0.17889557591230146,0.22657296460959983,0.2250105095062164,0.2283366406804158,0.21123644189952015,0.2305803387909851,0.23011207303082015,0.23093282807282453,0.1442990018134066,0.23098654718129785,0.23048533700209628,0.23134833666817317,0.1455144561453417,0.2739267290485355,0.2719319325671649,0.27565587458585866,-0.028422808316354752,0.27530885285989964,0.27331193089341255,0.2770339037145147,-0.02869861558283005,0.27643505064544843,0.2745520135092829,0.2779133139211895,-0.03400177296811534,0.2773889202936194,0.2755972177282475,0.27865911005113014,-0.0380427868408289,0.2785245705027854,0.276360139086643,0.2801630853740498,-0.028552924086112888,0.15802001563446702,0.15753580403689962,0.15847481878797323,0.12727771891204448,0.1588540088177345,0.15843555650399105,0.1592621735973814,0.12199321954983222,0.16042795209437097,0.1599652728746121,0.16091010032132633,0.12811417790615803,0.16191017193310175,0.16157796901999014,0.16222034986500433,0.11495193180747704,0.16330108305012445,0.16315203630065656,0.1634722128509018,0.1010948957271763
toc_pnwa_max_min_1_3,8318.0,0.2801731185381101,0.8807830658174673,0.0,0.0259999999999998,0.0600000000000005,0.1929999999999996,18.219,786,8.633567662565905,0.4995622017750487,-0.07938683801316052,0.7831676599980844,1.0,0.41233716154871825,0.19816193945451277,0.46644001525107426,0.4116827355744563,0.21222290642087333,0.06227519294990462,0.26789954428440466,0.275035168364115,0.12627137115117917,0.04724255176294178,0.15798468510781047,0.1543133500056355,0.05742358595148652,0.004772909983054961,0.08340528936152496,0.0965640730327958,0.15554709756493945,0.08752338789963683,0.2239854607910399,0.8558532936858106,0.14807425867397783,0.1212953460953252,0.17355053271714083,0.33629232889894367,0.122741401131009,0.1061438578170231,0.13874125832154552,0.2126570509693836,0.11150325926144877,0.10488856840184291,0.11821247751163029,0.09295095139745829,0.10277598729783842,0.09977034458864367,0.10552688850392898,0.04544576367859878,0.34570961160069197,0.346534561962848,0.34482383096690855,0.15321960583109231,0.35688636487842756,0.3560028514202319,0.35707386299256494,0.17695390893549756,0.3635781356854382,0.35779093556518016,0.3693995072934744,0.2708733015551734,0.36610051862859827,0.3673286396742958,0.36434550311421127,0.13442493814596496,0.3605720412556432,0.3592592415102338,0.36056228795309797,0.1680103201249792,0.23738165156807234,0.23724978989165096,0.2375680978238335,0.13434585830533713,0.24520723767307673,0.2446464143955446,0.2458936738046772,0.1637430475018481,0.25048792594301544,0.2487967635154539,0.25239107983541825,0.23124942523931782,0.25454473964324037,0.2543466569695173,0.2546980977565977,0.1440076793847535,0.255536227113332,0.25493428323013395,0.2558986654447377,0.1612246908595494,0.09596089915298726,0.09758421684545225,0.09438021492534653,-0.06997693526794223,0.09705643349754484,0.0987022867768481,0.09537773505336196,-0.07191742464774614,0.09781600843939044,0.09955486904935949,0.09595666896699073,-0.07574123131742987,0.09829717247867915,0.10021182811728767,0.09616344996391692,-0.08182908181456984,0.09859215765852458,0.10018760685017823,0.0968175345927923,-0.07289746546009182,0.17437778795135064,0.17420962099436033,0.17452436200976093,0.10725816781073616,0.17565657007538654,0.17546478513004046,0.17584365996358842,0.11045355106910294,0.17758155161634087,0.17733021244869215,0.17784598069009602,0.11760127449159272,0.1794702598953682,0.1793860439471622,0.17952890802218197,0.10140128345729107,0.18133480873576036,0.1812814087699592,0.1814146576171487,0.1021143847210955
toc_pnwa_mean_4_6,8315.0,11.41429946682702,0.7533716749746882,7.956666666666668,11.131033333333331,11.374033333333337,11.6007,19.652,789,8.66652021089631,0.6968851600960563,0.5391181785134538,0.679669498560405,0.41233716154871825,1.0,0.8120201311109383,0.9225015185096397,0.4995366675435061,0.6968623783350467,0.5714116382567752,0.6464497791282527,0.3482856157333959,0.5864250188204839,0.5309220569389208,0.5091003192520847,0.213685272561759,0.4576144861018798,0.455490530071582,0.3745751001880985,0.10864884304510046,0.3696525807008759,0.33796822008421573,0.4020470848283398,0.430657848225277,0.4083656363805296,0.3702264265554218,0.4431533525201627,0.4889367039864111,0.37314125776914175,0.34573383096918386,0.39886231742761835,0.36369511262302995,0.3614958260534611,0.34385344993747063,0.3764745987520584,0.23600092754609397,0.34666775286829177,0.3366133566666009,0.3547929539215808,0.14574525735069627,0.34546479441753114,0.34661610817132843,0.3441101706872318,0.14575387764012615,0.35068524418849717,0.34949983273946067,0.3513513627653691,0.18118996543032773,0.3719579096193408,0.36758818808503885,0.3770402995182241,0.25530258711096565,0.38902900943456475,0.3869749301406085,0.39023570633436006,0.20161174543085555,0.38465376597154766,0.38484309817496987,0.3831015650325582,0.15057117999747066,0.13655019964492215,0.13628922646959352,0.13689449045472885,0.08896645777948675,0.14221903726272705,0.14165809172429208,0.14293503998667909,0.11021899190775485,0.15413926567534675,0.15287745972043135,0.15577048842870062,0.16110572482227195,0.16427348116807725,0.16298866528016576,0.16553882799897762,0.15707662208856973,0.16720062874012087,0.16646890138180506,0.1677716814422023,0.12406740492881724,0.3228407567560425,0.3190245055089654,0.3262008242454116,0.0034680083198917184,0.32505347448797817,0.32118657707046816,0.3284759222756415,0.004460657674504886,0.32646141018782693,0.32267851415372967,0.3298522641531269,0.0027668008699310224,0.32749146461620265,0.32378018468472636,0.33069568669355864,-0.0011078732897746224,0.32857118219591636,0.32485500229158104,0.33169824823912747,-0.002102188386751193,0.11194481130047351,0.11115517143868224,0.11273189979106805,0.13211547403970342,0.11134969626808149,0.11076144161976811,0.11190239705430373,0.11115685887991991,0.11156755600317475,0.11107859425881172,0.11204295105781167,0.10312321649700786,0.11259779471841472,0.11200161506933135,0.11320999935259989,0.11476985264941425,0.11340507218536486,0.11295630583234488,0.11386468268980426,0.10151815927315924
toc_pnwa_min_4_6,8315.0,11.281720697534576,0.6599044288229717,1.3,11.094349999999999,11.33,11.5357,18.421,789,8.66652021089631,0.5714369486184119,0.5353084396043367,0.49892125645653157,0.19816193945451277,0.8120201311109383,1.0,0.557638398041494,-0.07944003039209512,0.5390917719548293,0.5352861648106463,0.44369062700956413,0.1318772338673617,0.5322178794321123,0.5641468008800951,0.4111615614637232,0.07121353615358474,0.44727452965238756,0.49241818879129257,0.3326609518467487,0.03067136891714639,0.3355892870827554,0.3168404583580371,0.3549417340921748,0.26739762357373675,0.3664759972489333,0.37061784945144105,0.3641895014328126,-0.003693377785457439,0.33331222270477445,0.3194377199029924,0.34593456539988987,0.19580473662165312,0.3351853387853787,0.3255087405701473,0.34262594573555155,0.13800636941290048,0.32621665695968294,0.3185834101860418,0.3314668308208909,0.11111825508738098,0.15230155632922443,0.15280099101112848,0.15147558582023987,0.062172166403519795,0.15429366397921343,0.15231351404480586,0.1555099182237071,0.10129062897245766,0.16546741088551725,0.16082717999490148,0.17183450076128653,0.1756040084081212,0.17888725504785277,0.180822624719045,0.1767849893659169,0.04208367809231529,0.17074437151705957,0.17003064719218336,0.17028156175140166,0.07608891475564984,-0.026499664352784644,-0.02649302879967177,-0.026525332925834734,-0.01491127219768351,-0.023401739605074207,-0.024051583563661702,-0.022646359371160774,0.0263339009752514,-0.01714010802486457,-0.018328587952310536,-0.015465504594990319,0.06984287133292952,-0.010201440513354048,-0.01041023910418736,-0.00996716910400518,0.00685463062625538,-0.01036337620575289,-0.011143210853329864,-0.009731904085826663,0.03352535051481085,0.308896249268351,0.3034467354752362,0.3139171803481634,0.05126068137428694,0.31105510254324176,0.30569235274359186,0.31593317773524493,0.04773336772883185,0.31183368939519346,0.306435538102122,0.3168397212356701,0.04998088779067481,0.3125955686474961,0.30724116026521037,0.3174567541935698,0.04705479330436799,0.3134802085322605,0.30802984787752363,0.3183813182794535,0.04891033586597542,-0.015462843930577085,-0.016125062795225135,-0.014775814330860799,0.05386492223403443,-0.0168721150463554,-0.017435295256498996,-0.016316757082853597,0.04214187779805456,-0.0176363794026111,-0.018073087374753317,-0.01719868044204466,0.030596823724328117,-0.01803002934884059,-0.01847521306082427,-0.017577366463601335,0.0315109216528337,-0.018645088893739815,-0.019136484569465595,-0.018138373864167955,0.03568363032607087
toc_pnwa_max_4_6,8315.0,11.561992014431748,1.0578962647343402,9.867,11.168,11.4087,11.6577,20.711,789,8.66652021089631,0.6464750630211623,0.4437216143025973,0.6652268070651763,0.46644001525107426,0.9225015185096397,0.557638398041494,1.0,0.7831618121148445,0.6796465251307725,0.4988924848229752,0.6652038629083488,0.42511544720765687,0.5086612336051981,0.40368263435404783,0.479537715377549,0.2734721230578445,0.3841156735700318,0.3464496034876278,0.33904756754682497,0.1476463225119225,0.32297982644750045,0.2895435126913137,0.35685809251476425,0.44600207075764203,0.3580739084708347,0.30400729722589326,0.4136440702320006,0.7103748296213801,0.3311812109562448,0.30022324749936513,0.3602735048397133,0.4021971611979228,0.3112210220680521,0.29135931250374975,0.32919060350619767,0.26320290746883773,0.2963001575215445,0.28603053509404397,0.305162468634648,0.14670433688308232,0.3761130485255488,0.3770000399581968,0.3749657284134988,0.165050236122225,0.38113247558876356,0.380940778824551,0.3808528495732816,0.17781129608984428,0.3987284707333633,0.39624701701900483,0.40143605022962364,0.22870998512838567,0.4136009745990884,0.40976193424385265,0.41732178381419455,0.25197749649146595,0.41363850765516924,0.41486419714263806,0.4112634853024969,0.14616423672879936,0.197630647388237,0.19720161267715572,0.1981202973280677,0.12992649083140162,0.2033492977137848,0.20301889666271788,0.2037989285468131,0.12879954773428737,0.2143998166906651,0.2135523527933922,0.21553376691270856,0.16783352746111238,0.22379071027587857,0.222288236113403,0.22546188202309417,0.20574377117199108,0.22840099839236994,0.22800258621455416,0.22866725188116196,0.13867259235929233,0.27208827252798684,0.2701300855550775,0.27361441324060143,-0.031175858548848367,0.2738886705724907,0.2718967815782555,0.27561353541587336,-0.028531930362779796,0.2753036469349657,0.2733083364803695,0.2770269537367954,-0.02873993836822918,0.27638632264543983,0.27449308663746186,0.27787126032326603,-0.03365597037222359,0.27737366387714063,0.27556752956034775,0.2786542192439275,-0.03760596137692513,0.15762274338690868,0.1569862023805033,0.15826200492902548,0.14257382126031115,0.15776278567598706,0.15731836011107014,0.15817540359178675,0.12280329968285143,0.15872470909652758,0.15834915020079804,0.15909132213536994,0.11794957372493457,0.16042213635822355,0.15997346505020393,0.1608821914299638,0.12635533156077944,0.16202956548551262,0.16173561950633739,0.16230946808689561,0.11199431223953564
toc_pnwa_max_min_4_6,8315.0,0.2802713168971737,0.8809267836004304,0.0,0.0259999999999998,0.0600000000000005,0.1930000000000005,18.219,789,8.66652021089631,0.348309204160991,0.13190462562147057,0.4251349195441364,0.4116827355744563,0.4995366675435061,-0.07944003039209512,0.7831618121148445,1.0,0.4123156423892712,0.1981352305655969,0.4664215192881194,0.41166949778693074,0.2121738818298809,0.06222451211300037,0.26785752152508313,0.27501151412155267,0.12623364764195175,0.0472084210519516,0.15795042513043425,0.15429332432152715,0.13649552738653045,0.11038739730009273,0.16268227842751215,0.3352887535244667,0.1554793419589745,0.08744861135739948,0.22392581945955198,0.8558488278608875,0.1480259462611667,0.12124566181781068,0.17350388886515253,0.336275519852694,0.1226648995212288,0.10606448002751187,0.1386679471029028,0.21266579940639682,0.11145453033560825,0.10484096965386291,0.11816298994853601,0.09292251931167327,0.32346294001367304,0.32414688578661577,0.3226794619954159,0.14456786101361582,0.3275963082741587,0.32850012918944826,0.3266092534835355,0.13637395932484622,0.34064851605225277,0.34055968767064076,0.34001182882971565,0.14999965940698226,0.3492170406514604,0.3439537098877475,0.3544456360602311,0.25037026925563477,0.3538711154511559,0.3556055652945866,0.3515482190961228,0.11618552800098456,0.2298747895618632,0.2294043774276669,0.23042183950613343,0.1497127834163011,0.23416670293622252,0.2341725798576817,0.2342311423971001,0.12520297801233382,0.24286692748229652,0.2426136701029219,0.24315834177459386,0.14327725251396561,0.24911590314901685,0.24759932008793598,0.2508016270749435,0.2198987193984579,0.2542438527744322,0.254249054105618,0.2541783406603348,0.13197229149493622,0.0953743929235867,0.09710449772161409,0.09344647476429789,-0.07582945189864662,0.09589805117531561,0.09752326049275543,0.09431524614054244,-0.07002089670974275,0.09701564087433016,0.09866288423254735,0.09533547731756749,-0.07194488381484504,0.09774739116951962,0.09948424317151135,0.09588968100700852,-0.07565179844059496,0.09825718177156245,0.1001706305118427,0.09612404016643918,-0.08178423037299117,0.176959564628113,0.1766377428012474,0.1772708472539084,0.12328514946814538,0.17786887544773125,0.17769884963898577,0.1780091239018577,0.1084916516957088,0.17930676122273181,0.1791418450827833,0.1794615731172031,0.10955483307293182,0.1813314459232906,0.1810929461781585,0.18157806548436894,0.11804562729469138,0.1833792967703282,0.18333131950577328,0.1834039522208088,0.10042282333739244
toc_pnwa_mean_7_9,8313.0,11.414401058582943,0.7534338155941455,7.956666666666668,11.131033333333336,11.374033333333337,11.600700000000002,19.652,791,8.688488576449913,0.5864741297059372,0.5322596984149476,0.5087167945812062,0.21222290642087333,0.6968623783350467,0.5390917719548293,0.6796465251307725,0.4123156423892712,1.0,0.812009746211529,0.9224960234298458,0.4995204578340128,0.6968381533037797,0.5713838313491777,0.6464234132869527,0.3482622532448324,0.5864086914092701,0.5309071627195121,0.5090819275099827,0.21366944968976465,0.3554600693967358,0.33726236144708965,0.37151689492553497,0.2456361577026466,0.36958778126151504,0.33790144478825646,0.4019850093405707,0.4306371969171465,0.4083026357755522,0.3701602194710576,0.4430937219233668,0.4889162830919152,0.37307348659308276,0.3456621769480401,0.39879764214045466,0.36370350726106754,0.36146400181113997,0.34382168503402094,0.3764428491746005,0.23598040684413976,0.3474611165731885,0.34371463206186487,0.3504906611220887,0.23186316408380206,0.34847809618819114,0.34937684944139374,0.347003118016511,0.14164583301194786,0.3514136228885098,0.3499278529529963,0.35238635658453304,0.18221578040105943,0.3704722367936137,0.36610544921289784,0.37543949294314805,0.24933153125156868,0.3859643953665867,0.38385223197688906,0.3872422565418713,0.19821941090165698,0.14386082263251654,0.142288250590443,0.1453444823934298,0.16056270502655015,0.14742903589304993,0.14715959871888828,0.14771027505872433,0.09295036537943209,0.1526164673911806,0.15199075986154664,0.1533818636468267,0.11892032201109795,0.16400792398511063,0.16276872552198027,0.16557334142642272,0.1640517974005244,0.1738261356419516,0.1725675268811104,0.17507302109071118,0.16085363214816226,0.3211293164860974,0.31718771566526377,0.3244798941429451,0.005714383800458384,0.3228639614478568,0.3190503246798779,0.3262195859034215,0.0033507740889630773,0.32507525458218645,0.3212096539559839,0.3284962517361979,0.0044211959754552055,0.32647506708650037,0.3226786917091606,0.3298731272140142,0.00315386787802968,0.3275328625399791,0.32379988156717987,0.33075312795527895,-0.000455656593586451,0.11646359612505637,0.11579833088536304,0.11712733786362176,0.1231227913756254,0.11568048321281892,0.11491794133475441,0.11642986619421233,0.13040320026705204,0.11536508949717839,0.11481211044912627,0.11587945206755808,0.10983046212487618,0.11582991298678862,0.11539378210437058,0.11624968712061166,0.10035596445859653,0.11708729352963737,0.1165088268141482,0.11767232663698148,0.11511448494885229
toc_pnwa_min_7_9,8313.0,11.281792758330326,0.6599673956390201,1.3,11.0947,11.33,11.5357,18.421,791,8.688488576449913,0.5309675663082761,0.564180348248866,0.40373832803209325,0.06227519294990462,0.5714116382567752,0.5352861648106463,0.4988924848229752,0.1981352305655969,0.812009746211529,1.0,0.5576130645576912,-0.0794756493964198,0.5390631150148667,0.5352615340848509,0.4436575135784106,0.13184923042028748,0.5322044397498618,0.5641360805840183,0.4111449265011768,0.0711984541378612,0.3304590124084425,0.31994940943084615,0.3379425142911548,0.1430224543454568,0.33553653310192016,0.31678692538187775,0.3548902653778398,0.2673735834820762,0.3664244661532757,0.37056757898542403,0.3641370657306343,-0.0037307156382900895,0.3332570363354423,0.31938051029534037,0.34588077356770536,0.19580558102667892,0.33516123102264783,0.32548480746905756,0.34260173204847993,0.13798817447286008,0.15925682414822354,0.15757443086707698,0.15949150504227214,0.09507962028246832,0.15471893603903408,0.1555497040018753,0.1534641459413897,0.05345136288840895,0.15658330540483464,0.15491416837275337,0.1574794361086587,0.09440167535287998,0.16775324927346447,0.16358773817757907,0.1735338196084233,0.16554014052115235,0.18117629555912637,0.18331676660068105,0.17887780979046944,0.03788285312100506,-0.008883587575899932,-0.009840653818265143,-0.008223685031066283,0.039936969793133784,-0.007814311279858365,-0.0077232990491389346,-0.007933984194892128,-0.00992684139719969,-0.004547990587628809,-0.005133529815285689,-0.003893637895409159,0.03172713924736797,0.0017889768507711801,0.0006622052277133512,0.003355373145758071,0.07540606811282782,0.008760691678796966,0.008607367983965414,0.008980325803232082,0.014945527823799574,0.30678617011090303,0.30116359316142527,0.3118454303901206,0.0549342987981102,0.3089360572709201,0.30348869003939005,0.31395292700428495,0.05115236904067065,0.3110945548170087,0.30573252171576043,0.3159717868275077,0.047705723839003296,0.3118653607257698,0.30645354333687885,0.31687891598311263,0.0503760045935966,0.31264715961732076,0.30727010484539274,0.3175251418030138,0.04773880992989876,-0.004439875910855236,-0.0050341110277951455,-0.0038496084899328838,0.052141339913948495,-0.0057584490404663105,-0.0064032255441606,-0.005101249516457585,0.056420674796508655,-0.006784438299096049,-0.007268545604740278,-0.006288754074850334,0.04115869635736977,-0.007245524497825915,-0.007616547585216932,-0.006875312921350779,0.030052559443473025,-0.0073720252170473115,-0.007800640164280125,-0.006939450170644004,0.03540175158344902
