,missing_values,missing_percentage
timestamp_ccentral,0,0.0
toc_pnwa_mean_1_3,786,8.633567662565905
toc_pnwa_min_1_3,786,8.633567662565905
toc_pnwa_max_1_3,786,8.633567662565905
toc_pnwa_max_min_1_3,786,8.633567662565905
toc_pnwa_mean_4_6,789,8.66652021089631
toc_pnwa_min_4_6,789,8.66652021089631
toc_pnwa_max_4_6,789,8.66652021089631
toc_pnwa_max_min_4_6,789,8.66652021089631
toc_pnwa_mean_7_9,791,8.688488576449913
toc_pnwa_min_7_9,791,8.688488576449913
toc_pnwa_max_7_9,791,8.688488576449913
toc_pnwa_max_min_7_9,791,8.688488576449913
toc_pnwa_mean_10_12,794,8.721441124780316
toc_pnwa_min_10_12,794,8.721441124780316
toc_pnwa_max_10_12,794,8.721441124780316
toc_pnwa_max_min_10_12,794,8.721441124780316
toc_pnwa_mean_13_15,796,8.743409490333919
toc_pnwa_min_13_15,796,8.743409490333919
toc_pnwa_max_13_15,796,8.743409490333919
toc_pnwa_max_min_13_15,796,8.743409490333919
toc_pnwa_mean_load_1_3,786,8.633567662565905
toc_pnwa_min_load_1_3,786,8.633567662565905
toc_pnwa_max_load_1_3,786,8.633567662565905
toc_pnwa_max_min_load_1_3,786,8.633567662565905
toc_pnwa_mean_load_4_6,789,8.66652021089631
toc_pnwa_min_load_4_6,789,8.66652021089631
toc_pnwa_max_load_4_6,789,8.66652021089631
toc_pnwa_max_min_load_4_6,789,8.66652021089631
toc_pnwa_mean_load_7_9,791,8.688488576449913
toc_pnwa_min_load_7_9,791,8.688488576449913
toc_pnwa_max_load_7_9,791,8.688488576449913
toc_pnwa_max_min_load_7_9,791,8.688488576449913
toc_pnwa_mean_load_10_12,794,8.721441124780316
toc_pnwa_min_load_10_12,794,8.721441124780316
toc_pnwa_max_load_10_12,794,8.721441124780316
toc_pnwa_max_min_load_10_12,794,8.721441124780316
toc_pnwa_mean_load_13_15,796,8.743409490333919
toc_pnwa_min_load_13_15,796,8.743409490333919
toc_pnwa_max_load_13_15,796,8.743409490333919
toc_pnwa_max_min_load_13_15,796,8.743409490333919
toc_wmth_mean_1_3,5188,56.98594024604569
toc_wmth_min_1_3,5188,56.98594024604569
toc_wmth_max_1_3,5188,56.98594024604569
toc_wmth_max_min_1_3,5188,56.98594024604569
toc_wmth_mean_4_6,5191,57.0188927943761
toc_wmth_min_4_6,5191,57.0188927943761
toc_wmth_max_4_6,5191,57.0188927943761
toc_wmth_max_min_4_6,5191,57.0188927943761
toc_wmth_mean_7_9,5194,57.0518453427065
toc_wmth_min_7_9,5194,57.0518453427065
toc_wmth_max_7_9,5194,57.0518453427065
toc_wmth_max_min_7_9,5194,57.0518453427065
toc_wmth_mean_10_12,5197,57.08479789103691
toc_wmth_min_10_12,5197,57.08479789103691
toc_wmth_max_10_12,5197,57.08479789103691
toc_wmth_max_min_10_12,5197,57.08479789103691
toc_wmth_mean_13_15,5200,57.11775043936731
toc_wmth_min_13_15,5200,57.11775043936731
toc_wmth_max_13_15,5200,57.11775043936731
toc_wmth_max_min_13_15,5200,57.11775043936731
toc_wmth_mean_load_1_3,5188,56.98594024604569
toc_wmth_min_load_1_3,5188,56.98594024604569
toc_wmth_max_load_1_3,5188,56.98594024604569
toc_wmth_max_min_load_1_3,5188,56.98594024604569
toc_wmth_mean_load_4_6,5191,57.0188927943761
toc_wmth_min_load_4_6,5191,57.0188927943761
toc_wmth_max_load_4_6,5191,57.0188927943761
toc_wmth_max_min_load_4_6,5191,57.0188927943761
toc_wmth_mean_load_7_9,5194,57.0518453427065
toc_wmth_min_load_7_9,5194,57.0518453427065
toc_wmth_max_load_7_9,5194,57.0518453427065
toc_wmth_max_min_load_7_9,5194,57.0518453427065
toc_wmth_mean_load_10_12,5197,57.08479789103691
toc_wmth_min_load_10_12,5197,57.08479789103691
toc_wmth_max_load_10_12,5197,57.08479789103691
toc_wmth_max_min_load_10_12,5197,57.08479789103691
toc_wmth_mean_load_13_15,5200,57.11775043936731
toc_wmth_min_load_13_15,5200,57.11775043936731
toc_wmth_max_load_13_15,5200,57.11775043936731
toc_wmth_max_min_load_13_15,5200,57.11775043936731
dschrg_pnwa_mean_1_3,785,8.622583479789103
dschrg_pnwa_min_1_3,785,8.622583479789103
dschrgpnwa_max_1_3,785,8.622583479789103
dschrgpnwa_max_min_1_3,785,8.622583479789103
dschrg_pnwa_mean_4_6,788,8.655536028119508
dschrg_pnwa_min_4_6,788,8.655536028119508
dschrgpnwa_max_4_6,788,8.655536028119508
dschrgpnwa_max_min_4_6,788,8.655536028119508
dschrg_pnwa_mean_7_9,790,8.67750439367311
dschrg_pnwa_min_7_9,790,8.67750439367311
dschrgpnwa_max_7_9,790,8.67750439367311
dschrgpnwa_max_min_7_9,790,8.67750439367311
dschrg_pnwa_mean_10_12,793,8.710456942003516
dschrg_pnwa_min_10_12,793,8.710456942003516
dschrgpnwa_max_10_12,793,8.710456942003516
dschrgpnwa_max_min_10_12,793,8.710456942003516
dschrg_pnwa_mean_13_15,795,8.732425307557119
dschrg_pnwa_min_13_15,795,8.732425307557119
dschrgpnwa_max_13_15,795,8.732425307557119
dschrgpnwa_max_min_13_15,795,8.732425307557119
dschrg_wmth_mean_1_3,3822,41.981546572934974
dschrg_wmth_min_1_3,3822,41.981546572934974
dschrgwmth_max_1_3,3822,41.981546572934974
dschrgwmth_max_min_1_3,3822,41.981546572934974
dschrg_wmth_mean_4_6,3825,42.014499121265374
dschrg_wmth_min_4_6,3825,42.014499121265374
dschrgwmth_max_4_6,3825,42.014499121265374
dschrgwmth_max_min_4_6,3825,42.014499121265374
dschrg_wmth_mean_7_9,3828,42.04745166959578
dschrg_wmth_min_7_9,3828,42.04745166959578
dschrgwmth_max_7_9,3828,42.04745166959578
dschrgwmth_max_min_7_9,3828,42.04745166959578
dschrg_wmth_mean_10_12,3831,42.08040421792619
dschrg_wmth_min_10_12,3831,42.08040421792619
dschrgwmth_max_10_12,3831,42.08040421792619
dschrgwmth_max_min_10_12,3831,42.08040421792619
dschrg_wmth_mean_13_15,3834,42.11335676625659
dschrg_wmth_min_13_15,3834,42.11335676625659
dschrgwmth_max_13_15,3834,42.11335676625659
dschrgwmth_max_min_13_15,3834,42.11335676625659
