,count,mean,std,min,25%,50%,75%,max
toc_pnwa_mean_1_3,8318.0,11.414148212711389,0.7532778853460913,7.956666666666668,11.130775,11.373850000000001,11.600699999999998,19.652
toc_pnwa_min_1_3,8318.0,11.281615977398413,0.6598084385949068,1.3,11.093,11.32985,11.535525,18.421
toc_pnwa_max_1_3,8318.0,11.561789095936524,1.0577594077174475,9.867,11.168,11.4087,11.6577,20.711
toc_pnwa_max_min_1_3,8318.0,0.2801731185381101,0.8807830658174673,0.0,0.0259999999999998,0.0600000000000005,0.1929999999999996,18.219
toc_pnwa_mean_4_6,8315.0,11.41429946682702,0.7533716749746882,7.956666666666668,11.131033333333331,11.374033333333337,11.6007,19.652
toc_pnwa_min_4_6,8315.0,11.281720697534576,0.6599044288229717,1.3,11.094349999999999,11.33,11.5357,18.421
toc_pnwa_max_4_6,8315.0,11.561992014431748,1.0578962647343402,9.867,11.168,11.4087,11.6577,20.711
toc_pnwa_max_min_4_6,8315.0,0.2802713168971737,0.8809267836004304,0.0,0.0259999999999998,0.0600000000000005,0.1930000000000005,18.219
toc_pnwa_mean_7_9,8313.0,11.414401058582943,0.7534338155941455,7.956666666666668,11.131033333333336,11.374033333333337,11.600700000000002,19.652
toc_pnwa_min_7_9,8313.0,11.281792758330326,0.6599673956390201,1.3,11.0947,11.33,11.5357,18.421
toc_pnwa_max_7_9,8313.0,11.562127896066405,1.057987247313943,9.867,11.168,11.4087,11.6577,20.711
toc_pnwa_max_min_7_9,8313.0,0.280335137736076,0.8810231175598969,0.0,0.0259999999999998,0.0600000000000005,0.1930000000000014,18.219
toc_pnwa_mean_10_12,8310.0,11.41456180104292,0.7535223003084115,7.956666666666668,11.131425000000002,11.37435,11.600700000000002,19.652
toc_pnwa_min_10_12,8310.0,11.281908676293622,0.6600583191468642,1.3,11.095,11.33,11.5357,18.421
toc_pnwa_max_10_12,8310.0,11.562336714801443,1.0581210894588926,9.867,11.17,11.4087,11.65845,20.711
toc_pnwa_max_min_10_12,8310.0,0.28042803850782183,0.8811685390884874,0.0,0.0259999999999998,0.0600000000000005,0.1937499999999996,18.219
toc_pnwa_mean_13_15,8308.0,11.41467039800995,0.7535804887128518,7.956666666666668,11.131924999999999,11.374366666666667,11.600775000000002,19.652
toc_pnwa_min_13_15,8308.0,11.281985399614827,0.6601192447861688,1.3,11.095,11.33,11.5357,18.421
