,turbidity_pnwa_mean_1_3,turbidity_pnwa_min_1_3,turbidity_pnwa_max_1_3,turbidity_pnwa_max_min_1_3,turbidity_pnwa_mean_4_6,turbidity_pnwa_min_4_6,turbidity_pnwa_max_4_6,turbidity_pnwa_max_min_4_6,turbidity_pnwa_mean_7_9,turbidity_pnwa_min_7_9,turbidity_pnwa_max_7_9,turbidity_pnwa_max_min_7_9,turbidity_pnwa_mean_10_12,turbidity_pnwa_min_10_12,turbidity_pnwa_max_10_12,turbidity_pnwa_max_min_10_12,turbidity_pnwa_mean_13_15,turbidity_pnwa_min_13_15,turbidity_pnwa_max_13_15,turbidity_pnwa_max_min_13_15,turbidity_pnwa_mean_load_1_3,turbidity_pnwa_min_load_1_3,turbidity_pnwa_max_load_1_3,turbidity_pnwa_max_min_load_1_3,turbidity_pnwa_mean_load_4_6,turbidity_pnwa_min_load_4_6,turbidity_pnwa_max_load_4_6,turbidity_pnwa_max_min_load_4_6,turbidity_pnwa_mean_load_7_9,turbidity_pnwa_min_load_7_9,turbidity_pnwa_max_load_7_9,turbidity_pnwa_max_min_load_7_9,turbidity_pnwa_mean_load_10_12,turbidity_pnwa_min_load_10_12,turbidity_pnwa_max_load_10_12,turbidity_pnwa_max_min_load_10_12,turbidity_pnwa_mean_load_13_15,turbidity_pnwa_min_load_13_15,turbidity_pnwa_max_load_13_15,turbidity_pnwa_max_min_load_13_15,turbidity_wmth_mean_1_3,turbidity_wmth_min_1_3,turbidity_wmth_max_1_3,turbidity_wmth_max_min_1_3,turbidity_wmth_mean_4_6,turbidity_wmth_min_4_6,turbidity_wmth_max_4_6,turbidity_wmth_max_min_4_6,turbidity_wmth_mean_7_9,turbidity_wmth_min_7_9,turbidity_wmth_max_7_9,turbidity_wmth_max_min_7_9,turbidity_wmth_mean_10_12,turbidity_wmth_min_10_12,turbidity_wmth_max_10_12,turbidity_wmth_max_min_10_12,turbidity_wmth_mean_13_15,turbidity_wmth_min_13_15,turbidity_wmth_max_13_15,turbidity_wmth_max_min_13_15,turbidity_wmth_mean_load_1_3,turbidity_wmth_min_load_1_3,turbidity_wmth_max_load_1_3,turbidity_wmth_max_min_load_1_3,turbidity_wmth_mean_load_4_6,turbidity_wmth_min_load_4_6,turbidity_wmth_max_load_4_6,turbidity_wmth_max_min_load_4_6,turbidity_wmth_mean_load_7_9,turbidity_wmth_min_load_7_9,turbidity_wmth_max_load_7_9,turbidity_wmth_max_min_load_7_9,turbidity_wmth_mean_load_10_12,turbidity_wmth_min_load_10_12,turbidity_wmth_max_load_10_12,turbidity_wmth_max_min_load_10_12,turbidity_wmth_mean_load_13_15,turbidity_wmth_min_load_13_15,turbidity_wmth_max_load_13_15,turbidity_wmth_max_min_load_13_15,dschrg_pnwa_mean_1_3,dschrg_pnwa_min_1_3,dschrgpnwa_max_1_3,dschrgpnwa_max_min_1_3,dschrg_pnwa_mean_4_6,dschrg_pnwa_min_4_6,dschrgpnwa_max_4_6,dschrgpnwa_max_min_4_6,dschrg_pnwa_mean_7_9,dschrg_pnwa_min_7_9,dschrgpnwa_max_7_9,dschrgpnwa_max_min_7_9,dschrg_pnwa_mean_10_12,dschrg_pnwa_min_10_12,dschrgpnwa_max_10_12,dschrgpnwa_max_min_10_12,dschrg_pnwa_mean_13_15,dschrg_pnwa_min_13_15,dschrgpnwa_max_13_15,dschrgpnwa_max_min_13_15,dschrg_wmth_mean_1_3,dschrg_wmth_min_1_3,dschrgwmth_max_1_3,dschrgwmth_max_min_1_3,dschrg_wmth_mean_4_6,dschrg_wmth_min_4_6,dschrgwmth_max_4_6,dschrgwmth_max_min_4_6,dschrg_wmth_mean_7_9,dschrg_wmth_min_7_9,dschrgwmth_max_7_9,dschrgwmth_max_min_7_9,dschrg_wmth_mean_10_12,dschrg_wmth_min_10_12,dschrgwmth_max_10_12,dschrgwmth_max_min_10_12,dschrg_wmth_mean_13_15,dschrg_wmth_min_13_15,dschrgwmth_max_13_15,dschrgwmth_max_min_13_15
turbidity_pnwa_mean_1_3,1.0,0.8381221628769305,0.9505676230302793,0.767452619445826,0.5885023645575369,0.4398393413472858,0.5922130326336222,0.5214826862885514,0.44763630423192446,0.3808199918739315,0.42643752106319527,0.3417412228600682,0.29171519418834513,0.26965902905408556,0.2742232075791471,0.2067167600430771,0.23109259106951335,0.2322238002088546,0.20939088326889654,0.14398685252614568,0.9018006628554959,0.7186484958666067,0.8882505559272168,0.7455440897808459,0.5460366025915642,0.39601176741762206,0.56587687510348,0.5134578138488174,0.42064178443810796,0.3535499469544928,0.40788953200260636,0.32768757984524954,0.2799198727465081,0.2557399366707376,0.26793962127439835,0.2006241264172955,0.2279614528275008,0.23004192673099014,0.20749432189996206,0.13543980591996346,0.2545902973798631,0.25337169678785654,0.25516358449766574,0.14822553463591412,0.25451689968537866,0.25212728060347184,0.25683963232898377,0.1662624422437984,0.2517451553714016,0.2505394576453137,0.2519934788363655,0.1418966146421483,0.24585867268773517,0.2447915118758224,0.24614426236804657,0.14032317923884471,0.2448118257748342,0.24192674899638833,0.24662566197441602,0.16060090212882092,0.19557965454822987,0.1942479487994101,0.19653755747201826,0.13809784271263126,0.19121272369919823,0.1886881349777695,0.19390596213715044,0.15660777459473968,0.1852407354486574,0.18402784707707906,0.1858382088691959,0.12745172381307487,0.17764157974553837,0.176449277037131,0.1780914902897577,0.1230434988258708,0.17365717798178382,0.17162715009013854,0.17492470820384143,0.13098413079321516,0.22545042286447176,0.22775750172014303,0.222884905018042,-0.12902105074885278,0.22624965048024492,0.22879352819890522,0.2234830543401537,-0.13511759344774907,0.22658537205464618,0.22922827900676285,0.22361727869461007,-0.1391962175251261,0.22683185789845017,0.22952373322259526,0.22374786630646842,-0.14136064435967785,0.22683883916214348,0.22912983558834313,0.2241416412874224,-0.13090226610584943,0.2734237054366025,0.27293223248926723,0.27389128295797127,0.1896041598155615,0.2737317507463159,0.2733924035388433,0.2740576992725869,0.17554236080705474,0.2747964076212202,0.2743233379020794,0.2752940047096396,0.18986210414059565,0.2757819446245507,0.2754723339763808,0.27607841074028966,0.1734936179946812,0.27675027549788445,0.27666606726740545,0.27686334644151306,0.1555646564629871
turbidity_pnwa_min_1_3,0.8381221628769305,1.0,0.6679886056273154,0.3227759091378756,0.42367231335912736,0.30734098920155273,0.4402581302358117,0.39802036497462107,0.40413089539507835,0.40785797845502086,0.3608687451295239,0.24411949362334437,0.2663837560139198,0.25292429921226595,0.24643076163607852,0.18018696026953693,0.2335648744930718,0.24911894269669416,0.20325795046070227,0.12729213901553638,0.7418061856695201,0.8328149817170883,0.6146448162995316,0.30689001995044574,0.3810762050081085,0.2646966634194515,0.41110863035567297,0.3873535153398335,0.37104454884554494,0.36553406701777796,0.33754394073977856,0.22573773206080358,0.24489931219901073,0.226094432125606,0.23337554370359923,0.17266080896314487,0.22051578815992884,0.23204539159214102,0.1947646875960891,0.11709485054469557,0.24081247909857728,0.23899028894277113,0.2416629878997221,0.14705991987767178,0.24147187413722956,0.2392846297519673,0.24424294692715895,0.1613119223443533,0.23892412760812587,0.2384014627653609,0.2387038458690214,0.12721711815816036,0.23627709168436634,0.23452379953946598,0.23708056576730602,0.1437675035660378,0.23757102123114274,0.23470559499087754,0.2394876669455021,0.15742141145188032,0.19822937135500443,0.1969483268865714,0.19880658894440167,0.13641376044955417,0.195068641149713,0.19279451573569897,0.19796078367343822,0.158734776860805,0.18963005186475415,0.18936463970788842,0.1893433064907643,0.11657638060577641,0.18452196637577467,0.1829488928436374,0.18524871563792916,0.13229135087082358,0.18235562699452554,0.18071115159596346,0.1832841431958195,0.13094759717928536,0.23083644241333878,0.233357396184608,0.22795052015312123,-0.13765019854136118,0.2308744691480561,0.23364071878554643,0.22789436145972605,-0.1422436731119614,0.23081027729396858,0.23364558374210345,0.2276296178527841,-0.14578620032557602,0.23078408088109867,0.23352089936462353,0.2277046238799629,-0.1430297096394456,0.23063840187283308,0.2329697553255837,0.22794322106770692,-0.13249994910743154,0.26604573057730907,0.26547781781368573,0.26661612199349594,0.19393368885434625,0.2655415730907791,0.26525763351309867,0.2658277441022074,0.1668555861214226,0.2657257895186845,0.2652495221836232,0.2662289251381628,0.18545814913258338,0.26576733932380653,0.26543840201819296,0.2660802848889126,0.16983529976875136,0.26588640158518195,0.26584124053385855,0.26593741205384325,0.145191017946391
turbidity_pnwa_max_1_3,0.9505676230302793,0.6679886056273154,1.0,0.9199506601243173,0.6289593177121737,0.49478445111437097,0.6194758092566798,0.5272158647904707,0.42408707339478957,0.32898948836331676,0.42005767488731044,0.3609236751512223,0.28448256717406095,0.25805561178414366,0.2696099366709984,0.2069604079340196,0.21057105810679272,0.20280601992465835,0.1965568690604689,0.14315678514025099,0.8639858231711333,0.5861629993201803,0.9385946158771287,0.8956988190304569,0.5908987989990323,0.4528660654631444,0.5972295576486389,0.5201629632051414,0.40423899737230695,0.313271925820394,0.407084586589377,0.3516902898770664,0.2793501469172155,0.2527491159638216,0.26796696998281105,0.2025233203550652,0.2133056943177719,0.20915555981338754,0.19862747239458628,0.1365367266356808,0.24874739129372725,0.24795682011223427,0.248946428657932,0.13942213266749137,0.24805498324410927,0.24549166932407068,0.2500614767691731,0.1617525715895064,0.24559243542720613,0.24398608836799274,0.24622640067308105,0.14413568226870216,0.23872383018519502,0.23805171955344107,0.23859412543338646,0.1307384207771074,0.23607267541118354,0.23351489143937215,0.23754726700745843,0.15138138689563227,0.18578930372117386,0.18477863497058883,0.18654315144152123,0.12814858775590635,0.18116214117154833,0.17852316071485638,0.18351826170141303,0.14862393929535425,0.17585500963073902,0.17415099072867413,0.1770500548110514,0.1297822268530791,0.1678105211649254,0.16694397981422637,0.16794758568191726,0.11207066511031435,0.16290604700414643,0.16087627500546348,0.16411696771211304,0.12393953667958818,0.20398669959759405,0.20606900586749177,0.20176057732772285,-0.11541605753340833,0.2050252842330533,0.20719902078756658,0.20268209386911498,-0.11851055812211675,0.20557332054299482,0.20786314136652767,0.2030035298860204,-0.12321557480671012,0.20597080302017662,0.20839526264344846,0.2031654522754842,-0.12815863177440587,0.20610256311477032,0.20818906829898207,0.20362928736380295,-0.11930058911057466,0.25604852367957015,0.2556631604471632,0.25641690753302454,0.1709143872254807,0.2568631242197996,0.2565488215026093,0.2571614293409342,0.1641897867735184,0.25835799685712946,0.2579722115626165,0.2587590699007011,0.17275970648851757,0.25984182241153203,0.2596068643176696,0.2600528709598908,0.15774714838031284,0.26121863834446346,0.26113534713779524,0.2613316256624669,0.14729442689090713
turbidity_pnwa_max_min_1_3,0.767452619445826,0.3227759091378756,0.9199506601243173,1.0,0.5767306709378934,0.46736625488254496,0.5559336219154546,0.4608481253632685,0.32647094471867094,0.20356403082902433,0.3441348205736912,0.3304269427824045,0.22148677802229919,0.19496564659857632,0.21308264456985926,0.16829977742454016,0.14476738955010565,0.1266985242690138,0.1429090152731311,0.11501174528258236,0.7080733074207798,0.30678001780010816,0.8699539876439922,0.9775240517409297,0.550763064001135,0.436517730514409,0.5429953981422465,0.4574969962050037,0.31865674611742856,0.20586885809123437,0.3399222198938338,0.3283666843559605,0.22627799877020738,0.20235170608698805,0.2178711274815378,0.1666214397536611,0.15511910482218463,0.14376758980696153,0.15001636075210403,0.11196403403118617,0.1930082640291071,0.19294236807153484,0.19282189871640817,0.10191940605281438,0.19178333489062316,0.18964191872870362,0.192910941972377,0.12306302252112498,0.18995743695279982,0.1881761147528409,0.19088146157231378,0.11822207032001053,0.18255467942088846,0.1826044606710108,0.1819726824676522,0.09253217477058212,0.1784972232370535,0.17671424264470287,0.17938798410341164,0.11182946182228685,0.13464241604478105,0.13401499569383962,0.13530639195317457,0.09303330520166538,0.13036949446430746,0.1281764273486086,0.13188102145715647,0.10762651942570127,0.1264070721070065,0.1243676887528564,0.12808231545452786,0.10539848802120964,0.11877683535263296,0.11848485232545478,0.11857539443041089,0.07462975636766733,0.11363332305750182,0.11189227859097695,0.11469921989463229,0.09048854951706904,0.1378346594488184,0.13915498909863627,0.13652368490972577,-0.074277073155725,0.1391364621732233,0.14044388924314616,0.13772617422711667,-0.07579417492667295,0.1398655116662622,0.14128417110394556,0.13827270580915038,-0.07991069504882237,0.1403842956210902,0.14202605678675598,0.1384386006122083,-0.08764890572092175,0.1406263555712276,0.1420518706829882,0.13890060190952416,-0.08192862494099949,0.18926246233474883,0.18906439461572536,0.18943755522742278,0.11786561812039309,0.1905653462749929,0.19031093425524387,0.19079816543505482,0.1233044169081274,0.19237936695885077,0.19213328166217888,0.1926310617794558,0.12461429853292914,0.19425385392124794,0.1941241192079131,0.19436132933866376,0.1135301293995883,0.1959508781078738,0.1958678701915322,0.1960687930636304,0.1129452254872063
turbidity_pnwa_mean_4_6,0.5885023645575369,0.42367231335912736,0.6289593177121737,0.5767306709378934,1.0,0.8380925042818683,0.9505636488976346,0.7674598278660065,0.5884563784986696,0.4397648263278806,0.5921768238495208,0.5214713805486302,0.4475413829255779,0.3806937009261476,0.4263585192681163,0.3417061591238995,0.29163399754870856,0.26955972697242664,0.2741555554125281,0.20668330286775968,0.5425553249667194,0.37934006038171303,0.5988471581427073,0.5681368253356973,0.901792275512467,0.7186087862396469,0.8882477514532874,0.7455582156132168,0.5459989530022304,0.39595271964065143,0.5658490256041249,0.5134528679734898,0.4205679453548635,0.35345345144970813,0.4078289826006921,0.32766436618262634,0.2798591496157162,0.25566824299213337,0.26788844930843136,0.2005994908651808,0.25641840269915045,0.25502330386802335,0.2574333309783202,0.1536624010669887,0.2566341479621943,0.2550051418967615,0.25769664357289557,0.15313782634361672,0.25722583903669133,0.2546370173067364,0.2598462135268491,0.17114984746200393,0.25440651470187403,0.25315559680130356,0.2546562658955887,0.14586796110846684,0.2484594544898634,0.24715379955620712,0.24897282217390093,0.14252718976125586,0.20086043830727807,0.1995735507864234,0.20210718161478805,0.1432926477135344,0.19665443435845475,0.19505689850939803,0.197947391808916,0.14246635036405278,0.19287295623999023,0.1902383664575077,0.19572671153874122,0.15972224132688054,0.18692243202677603,0.18575626438159368,0.18743901828327017,0.12916831636495946,0.1794759035070302,0.17810764819287417,0.18011054447455055,0.1249278811322085,0.224711829306266,0.22728760630805972,0.22187079261041925,-0.13609768151472576,0.22530395488965374,0.22761511418647196,0.22273447363056945,-0.12910639580161118,0.2261463167470224,0.22869365748357595,0.2233761011300343,-0.13518405674653275,0.22642767545077244,0.22906964454775472,0.22346091894794015,-0.1390621615148964,0.22673489887724219,0.22943028652278807,0.22364745503468803,-0.14138538977802736,0.27192653228144237,0.27130095584866154,0.27253919558172757,0.20165931590321842,0.27168521686856484,0.2712482927864196,0.27209779745507395,0.18287608396941407,0.2719911181213676,0.2716770542212376,0.27229183183418065,0.17211206805647486,0.27311612546890657,0.27263038869043343,0.27361663126529395,0.18947984952616018,0.2741415683244541,0.27386922457763924,0.2744150049940919,0.1700895934973474
turbidity_pnwa_min_4_6,0.4398393413472858,0.30734098920155273,0.49478445111437097,0.46736625488254496,0.8380925042818683,1.0,0.667942734153741,0.32273833736750746,0.42359574503298564,0.30722849017100984,0.4402001568039212,0.3980017856868768,0.40400899403653034,0.40771104138132397,0.36076584688944063,0.24407020679704503,0.26628287477029333,0.2528009490198935,0.246347472127419,0.18014666946892968,0.3947713216865332,0.2641514001400791,0.4631394424568589,0.457587816254081,0.7417783182162456,0.8327936313914709,0.6146105791417107,0.3068638401052551,0.381015824365165,0.2646112623963317,0.4110639345997282,0.3873429969230173,0.3709516022103506,0.3654228707886392,0.3374655653207745,0.22570272647873377,0.24482414591826965,0.22600574350084554,0.2333126824704888,0.17263120195033513,0.2463553987606776,0.24536396946448652,0.24682954018459735,0.14154877616280453,0.24732814157394523,0.24489729513430825,0.24897808737519642,0.15789782399261199,0.24929661890416752,0.24687240339415245,0.2524113878265751,0.16945830742140527,0.24677053111924452,0.24612841991483408,0.24668611669750126,0.13514887961772576,0.24385015342695635,0.24200899308109694,0.24471698839714875,0.14625677104716325,0.20537084279589696,0.20446949084670496,0.20608524310975432,0.13918253990101073,0.2027482342737768,0.20109400580625209,0.20383314002810507,0.14500709127446548,0.2006450560796141,0.19824170998286447,0.2036987195946894,0.16441382681529151,0.19523163474270971,0.1949785965349208,0.1949718376037544,0.12157941577915225,0.1901016296722538,0.18856474225999664,0.1908416548062315,0.13347515837442062,0.23028336865617935,0.23306385071230726,0.2272523326987873,-0.14293911015549562,0.23065411219787987,0.23318007436202431,0.22776347916325443,-0.1377481127186586,0.2307427556096246,0.23351337083813917,0.22775808262205643,-0.14232683869284196,0.23061382456116777,0.23344869954244885,0.2274343951745336,-0.14564926153564167,0.23066205906607998,0.23340526230787678,0.22757669896603833,-0.14311727953393516,0.26310374194941816,0.26249307995411003,0.26368415891955216,0.1947902210866175,0.26219989931313825,0.26172720484197376,0.2626839233688632,0.18275251973225395,0.26160571775668856,0.26136293971038677,0.26186770537988063,0.16159643265617438,0.2618157853907277,0.2613352054969536,0.2623149704965534,0.18321038052430486,0.2617839961406134,0.26146420765560213,0.262100764347191,0.16768719593461928
turbidity_pnwa_max_4_6,0.5922130326336222,0.4402581302358117,0.6194758092566798,0.5559336219154546,0.9505636488976346,0.667942734153741,1.0,0.9199592623285684,0.6289269954336824,0.49473355679513376,0.6194476190116763,0.527203441549101,0.4240080794776954,0.3288814001612719,0.419991826051249,0.36089300741669755,0.2844167797649405,0.25797565608391615,0.26955441557648957,0.20693190694206542,0.5511715122462125,0.4007747340860796,0.5927817900890653,0.5466416390560557,0.8639718541188898,0.5861143275493859,0.938591423268927,0.8957118125978555,0.590870199280624,0.4528225716121196,0.5972065891813763,0.5201554615676023,0.40417579237337986,0.3131883626435355,0.40703276282101497,0.35166930606121216,0.2793002024294111,0.2526905722142774,0.26792437218870874,0.2025019448202806,0.24617923338379014,0.24449519762760402,0.24755365670785554,0.15283586324819004,0.24637279211026578,0.24530305409329312,0.24689026947009216,0.1400583571625003,0.24605311408996092,0.24333668116051985,0.24827832046787235,0.16329188956467575,0.2435309939093393,0.24195556962628395,0.2440968861867845,0.1446468389182026,0.23672175820044025,0.23583667384751467,0.23683263744452723,0.13065604174900722,0.1874152067778181,0.1859923399614629,0.18886878928186654,0.13755031513319005,0.18315077541479274,0.18193943448844055,0.18416175539321292,0.1292091891558663,0.17903512055311865,0.17628945693749548,0.18152577080724822,0.14917392554755715,0.17383585573514923,0.17223076433572418,0.174883748157279,0.12839263069709836,0.16608816224208453,0.16503281082704271,0.16641649801775066,0.1120969331928998,0.20331361388186892,0.20554983222377882,0.2007754200583937,-0.12144502686979447,0.2038702053739043,0.20595578855121913,0.2016407860357086,-0.11548846241547643,0.20494512526810973,0.2071215486795665,0.20259912699220878,-0.11856221241740664,0.20544784526868054,0.2077362325431112,0.20287954227666305,-0.12308670985186815,0.2058946515143095,0.20832075647427065,0.20308743678860514,-0.12814687420551205,0.25572069743101505,0.25519981450452217,0.25624052650249785,0.18395051888133426,0.25600911972037466,0.25566831530991935,0.25632851613677443,0.165916695896323,0.25696135851569807,0.2566931735653437,0.2572149373454331,0.15990432655801518,0.2585800746334186,0.2582092820675149,0.2589588633009258,0.17097500780331315,0.260206393720555,0.2600184794209051,0.2603799170261785,0.1542923182417564
turbidity_pnwa_max_min_4_6,0.5214826862885514,0.39802036497462107,0.5272158647904707,0.4608481253632685,0.7674598278660065,0.32273833736750746,0.9199592623285684,1.0,0.5767236597503084,0.4673549009063498,0.555923031902962,0.4608385032093571,0.3264348781022352,0.20350942490359136,0.3441032388546814,0.33040843547747106,0.22145626972295654,0.19492937943043553,0.21305569760009907,0.16828425377696124,0.4930249416785612,0.37055482171211596,0.5099347435455921,0.45418124953427247,0.7080660428179575,0.30674507230243775,0.8699526630589233,0.9775240310175864,0.5507519989339785,0.43650138799849447,0.5429841421221636,0.45748923431223815,0.3186247010554759,0.2058250689633296,0.33989493477768346,0.32835242644663776,0.22625346365104382,0.20232358632609082,0.2178494204754458,0.16660922279066823,0.18799411407176006,0.18636396536718197,0.18949072781637735,0.12236548501742678,0.18775517295400512,0.18761303908780913,0.18758879082812613,0.09815585724769842,0.18637708273344653,0.1841567608873673,0.18763589463638417,0.12169715089620686,0.18445206051011415,0.18278545203897845,0.18520699386064407,0.11522251876686927,0.17732109586037398,0.1771191628533441,0.17703080332982415,0.09208321443232326,0.1342794219663699,0.13293367051789842,0.1357566060127756,0.104279149557723,0.13020649449473679,0.1295007131884988,0.13094221497255634,0.09087975430910658,0.12606446839488405,0.12379696248751294,0.12768806242273972,0.10641013540757462,0.1221980716395419,0.1203010788296691,0.12364735445043287,0.10147242883736489,0.11498034294286252,0.1144129206666771,0.11502696827815814,0.0750378829108814,0.13727689135998825,0.13865636561466355,0.1356453456473846,-0.07916372252268118,0.13778469235943103,0.1391065825860173,0.13647196193928562,-0.07431919265990856,0.1391053594953052,0.14041393176348166,0.13769387550545795,-0.07581724167510298,0.13981147019770987,0.14122857162932198,0.1382198660048182,-0.07982059186473392,0.14035316888002008,0.14199367687657943,0.13840819571489665,-0.0875886961597203,0.1917091111888786,0.19135568700069183,0.19207620941870354,0.13516198561990594,0.19252042002050287,0.19232546619858476,0.19268277937947806,0.11840948753634124,0.19401616432875274,0.1937986666496076,0.19420572891203905,0.12132847057818023,0.19595154114036908,0.19572271417945727,0.19618121445637335,0.12455644108265292,0.1980171081862001,0.1979389587110211,0.19807862218671543,0.11123576472322771
turbidity_pnwa_mean_7_9,0.44763630423192446,0.40413089539507835,0.42408707339478957,0.32647094471867094,0.5884563784986696,0.42359574503298564,0.6289269954336824,0.5767236597503084,1.0,0.8380726164580713,0.9505608900488687,0.7674646432846746,0.5884091855303752,0.4396886773020943,0.5921399903597181,0.5214602204112376,0.4475095314052343,0.38065152149530695,0.4263318046369426,0.34169387338375934,0.4169277228155024,0.3693245352422028,0.4042469904995982,0.3129899791221707,0.5425178730301434,0.379280237952188,0.598822388422014,0.568135377676587,0.9017864061663939,0.7185816347278242,0.8882456528163548,0.7455678065849081,0.5459609069062696,0.39589248080483674,0.5658211085797041,0.5134487204003189,0.4205436837165116,0.35342218500617273,0.4078088535306854,0.3276559858489356,0.24680569188846285,0.24481007959398113,0.2484223862893017,0.15708985139686252,0.24698409533727453,0.24551459386305846,0.24805157898134586,0.1470448165589314,0.24680522732109894,0.2455338141428042,0.24750208908779509,0.14298022206723474,0.24651145564518728,0.24400140231031536,0.24901931390848323,0.16702307434041647,0.2439359832866504,0.2426913184754029,0.24411475522466364,0.13733333536114886,0.1970396670015565,0.19544485155650645,0.19831925623639352,0.14338781611652257,0.19302579766179875,0.19173475652451,0.1942106355060622,0.13720462090321528,0.18869119675616813,0.18751576147791293,0.18954376723910774,0.13128356904915,0.18441021465122198,0.18192631563561487,0.18703677492352094,0.15384748014580152,0.1788039616095414,0.17770713744023128,0.17921835240905526,0.12087075630488915,0.22511572470292449,0.22759113584437696,0.22223993934175523,-0.1353272880436159,0.22461806213679597,0.2271970501402228,0.2217739733460677,-0.13617075471903228,0.22520423202129913,0.22751882794591094,0.22263115290714794,-0.12917293336070923,0.2260448006269,0.2285908654477977,0.22327386744205985,-0.13510185995571983,0.22638234104041496,0.2290249703652691,0.22341472893507705,-0.13901403133955667,0.27464974990279956,0.2741488570089437,0.27515087690052353,0.19224612333298596,0.27409892823675736,0.2735013432953463,0.27467080087210394,0.19876647903630495,0.27411314662187636,0.2737097754277185,0.27449113241289097,0.1808405884230723,0.2746420430624564,0.27437330525425635,0.27489550332311385,0.16906034391335298,0.2759978685031377,0.2755338335418735,0.27646767159677726,0.18879259463823844
turbidity_pnwa_min_7_9,0.3808199918739315,0.40785797845502086,0.32898948836331676,0.20356403082902433,0.4397648263278806,0.30722849017100984,0.49473355679513376,0.4673549009063498,0.8380726164580713,1.0,0.6679116806759459,0.32271309067400783,0.42351671356139353,0.307112819734031,0.4401409984105648,0.3979833954836292,0.40396855729198344,0.407662639502597,0.3607313800027274,0.24405310740315497,0.3493174906966717,0.36362264196392075,0.30851406926113745,0.18795394321609316,0.3947131184566239,0.2640669067870314,0.46310079021779815,0.4575836630274096,0.741759231990952,0.8327787773125193,0.6145872720522069,0.30684647246998575,0.3809546478226121,0.26452379062407033,0.41101903334859136,0.3873335773266635,0.3709213931667926,0.36538735021696717,0.33743973309542485,0.22569029237525234,0.23528619049490374,0.23267076714575613,0.23733900677319575,0.15841070298523294,0.23485945446164636,0.23390332932293123,0.23527301072443318,0.1325085082879835,0.2351438024873385,0.23311920157135393,0.2363376969848455,0.14549433186901697,0.23614344397408069,0.23378239401912906,0.23920060727082396,0.1645455741530541,0.23430693000935607,0.233607933310949,0.23426567179839608,0.12704597289360656,0.19981732118063514,0.19794722832325526,0.20112457072884435,0.14729440205560249,0.19642896902110876,0.19550235501588872,0.19711488331963833,0.132823979644598,0.19374552075908644,0.1924801920937634,0.19442969084753847,0.13373692387208644,0.19138859353934112,0.1890810794236762,0.19431209341340597,0.15926282303925857,0.18673118118378562,0.186452228051451,0.18663218760696648,0.11592337253304442,0.23107963678978438,0.23368047763649874,0.2280530386936065,-0.1407010889741189,0.2301597879000868,0.2329441850771993,0.22712526820080378,-0.14301935334989155,0.23052254608540432,0.2330528602425642,0.22762734167220913,-0.1378308937593178,0.23061014559891319,0.23338064483264162,0.22762362661383928,-0.14226645883962521,0.23055163461042838,0.23338998318552615,0.22736913191075617,-0.14566401008636695,0.2689398344658961,0.26847095132232396,0.2694094886443917,0.18628693527273632,0.26783917577436245,0.267263698519321,0.2683669175663812,0.19241546284111247,0.26738433777467785,0.2670125824530914,0.26779186002131944,0.17719844667506213,0.2671417493440423,0.26697575993350314,0.2673257766565608,0.157233271664604,0.26770707202200034,0.2672716506302288,0.26815716389158073,0.18219852940508963
