,count,mean,std,min,25%,50%,75%,max
turbidity_pnwa_mean_1_3,8318.0,7.543683814218161,7.902250524961661,1.950666666666666,4.532133333333332,6.314333333333333,7.607916666666667,117.0818
turbidity_pnwa_min_1_3,8318.0,6.256406708343352,5.077113162113373,1.767,4.3054,6.0116,6.8286,101.4258
turbidity_pnwa_max_1_3,8318.0,9.030451021880259,12.257510379683819,2.0026,4.75,6.5626,8.55,143.849
turbidity_pnwa_max_min_1_3,8318.0,2.774044313536908,9.637534948573775,0.0,0.2241999999999997,0.5358,1.4858000000000002,137.4954
turbidity_pnwa_mean_4_6,8315.0,7.545623972740027,7.903015702743172,1.950666666666666,4.532133333333332,6.314333333333334,7.6088666666666676,117.0818
turbidity_pnwa_min_4_6,8315.0,6.257903066746843,5.077417689672057,1.767,4.3054,6.0116,6.8286,101.4258
turbidity_pnwa_max_4_6,8315.0,9.032900709561034,12.259042770610032,2.0026,4.75,6.5626,8.55,143.849
turbidity_pnwa_max_min_4_6,8315.0,2.774997642814191,9.639142600819639,0.0,0.2241999999999997,0.5358,1.4858000000000002,137.4954
turbidity_pnwa_mean_7_9,8313.0,7.5469223545450905,7.90352301002077,1.950666666666666,4.532133333333332,6.314333333333334,7.6088666666666676,117.0818
turbidity_pnwa_min_7_9,8313.0,6.258910838445808,5.077612532423259,1.767,4.3054,6.0116,6.8286,101.4258
turbidity_pnwa_max_7_9,8313.0,9.034547311439914,12.26005776863804,2.0026,4.75,6.5626,8.55,143.849
turbidity_pnwa_max_min_7_9,8313.0,2.7756364729941057,9.640214007167682,0.0,0.2241999999999997,0.5358,1.4858000000000002,137.4954
turbidity_pnwa_mean_10_12,8310.0,7.5489149217809866,7.904253665839454,1.950666666666666,4.536249999999998,6.318133333333324,7.608866666666668,117.0818
turbidity_pnwa_min_10_12,8310.0,6.260451070998798,5.077881771608339,1.767,4.3054,6.0116,6.8286,101.4258
turbidity_pnwa_max_10_12,8310.0,9.037055282791817,12.261559902081055,2.0026,4.75,6.5683,8.55,143.849
turbidity_pnwa_max_min_10_12,8310.0,2.7766042117930203,9.641819384354626,0.0,0.2241999999999997,0.5358,1.49435,137.4954
turbidity_pnwa_mean_13_15,8308.0,7.550249181511797,7.904737203251792,1.950666666666666,4.537199999999999,6.3181333333333285,7.609183333333335,117.0818
turbidity_pnwa_min_13_15,8308.0,6.261476071256619,5.0780631545002874,1.767,4.3054,6.0116,6.8286,101.4258
turbidity_pnwa_max_13_15,8308.0,9.038746870486278,12.2625510303448,2.1242,4.75,6.574,8.55,143.849
turbidity_pnwa_max_min_13_15,8308.0,2.777270799229658,9.642884258766475,0.0,0.2241999999999997,0.5358,1.4972,137.4954
turbidity_pnwa_mean_load_1_3,8318.0,3723.646403817246,6686.391009883943,115.09226482222223,422.389622777778,1122.5396810444445,5625.813898333334,101630.11932888888
turbidity_pnwa_min_load_1_3,8318.0,2948.2832702873607,4601.959307760038,1.5120896666666666,357.3566011666667,998.1776273999999,5294.434866666667,89085.661
turbidity_pnwa_max_load_1_3,8318.0,4620.778398242758,9924.148016716783,151.4874636,488.5180477999999,1286.2837866666666,5772.707806666667,122794.30136666668
turbidity_pnwa_max_min_load_1_3,8318.0,1672.4951279553984,7387.811041477983,0.0,76.0941316999999,170.85826886666672,432.17665999999997,117338.67683333332
turbidity_pnwa_mean_load_4_6,8315.0,3724.902191053602,6687.270290329253,115.09226482222223,422.54689000000013,1123.0799511111113,5625.938971111113,101630.11932888888
turbidity_pnwa_min_load_4_6,8315.0,2949.262991138393,4602.50036317207,1.5120896666666666,357.41223,998.27406,5294.959266666668,89085.661
turbidity_pnwa_max_load_4_6,8315.0,4622.353974369269,9925.591589187437,151.4874636,488.7904172333333,1286.2837866666666,5772.934223333334,122794.30136666668
turbidity_pnwa_max_min_load_4_6,8315.0,1673.090983230876,7389.077198702289,0.0,76.32223683333329,171.1240066666669,432.22340000000025,117338.67683333332
turbidity_pnwa_mean_load_7_9,8313.0,3725.750146171529,6687.851246385465,115.09226482222223,422.5843622222224,1124.0670644444444,5626.06162666667,101630.11932888888
turbidity_pnwa_min_load_7_9,8313.0,2949.9275084723613,4602.854557673103,1.5120896666666666,357.49144479999995,998.27406,5294.959266666668,89085.661
turbidity_pnwa_max_load_7_9,8313.0,4623.415745365934,9926.549532333462,151.4874636,489.06278666666674,1288.4543466666669,5773.160640000001,122794.30136666668
turbidity_pnwa_max_min_load_7_9,8313.0,1673.4882368935723,7389.921705889533,0.0,76.36061999999998,171.1266666666652,432.2573466666672,117338.67683333332
turbidity_pnwa_mean_load_10_12,8310.0,3727.029441864037,6688.719429871672,115.09226482222223,422.97458770555573,1124.2131275777776,5626.919381666668,101630.11932888888
turbidity_pnwa_min_load_10_12,8310.0,2950.9386023970724,4603.377706175374,1.5120896666666666,357.95110293333335,999.8470421333334,5294.959266666668,89085.661
turbidity_pnwa_max_load_10_12,8310.0,4625.00606203935,9927.988385055894,151.4874636,489.0924266666667,1289.40441,5773.5194550000015,122794.30136666668
turbidity_pnwa_max_min_load_10_12,8310.0,1674.0674596422787,7391.192755332323,0.0,76.36162034999998,171.16637666666588,432.2573466666672,117338.67683333332
turbidity_pnwa_mean_load_13_15,8308.0,3727.8707412467434,6689.304732312504,115.09226482222223,423.1177843722223,1125.1287810666665,5627.471732777778,101630.11932888888
turbidity_pnwa_min_load_13_15,8308.0,2951.5933730594047,4603.738342201386,1.5120896666666666,358.2039017333334,999.8470421333334,5295.121970000001,89085.661
turbidity_pnwa_max_load_13_15,8308.0,4626.063231928832,9928.94957831689,151.4874636,489.0924266666667,1290.12033,5773.762528333335,122794.30136666668
turbidity_pnwa_max_min_load_13_15,8308.0,1674.469858869427,7392.036942740408,0.0,76.4220289500001,171.21549229999994,432.3541200000003,117338.67683333332
turbidity_wmth_mean_1_3,5295.0,306.12874931067046,745.8824597500121,0.0,6.56337833333334,8.185590000000003,14.613203333333336,3147.124103333333
turbidity_wmth_min_1_3,5295.0,292.8877269839471,719.0352292265711,0.0,5.978585000000001,7.51055,12.45815,2917.27319
turbidity_wmth_max_1_3,5295.0,319.6602256355052,775.4452721148288,0.0,7.09221,8.93277,16.85305,3841.37817
turbidity_wmth_max_min_1_3,5295.0,26.772498651558074,106.16158410807093,0.0,0.6890300000000003,1.3356899999999996,4.029579999999996,2038.93866
turbidity_wmth_mean_4_6,5292.0,306.296858377425,746.060453135451,0.0,6.56249666666667,8.184410000000003,14.618036666666669,3147.124103333333
turbidity_wmth_min_4_6,5292.0,293.04891147392294,719.207162525391,0.0,5.97848,7.51013,12.54931,2917.27319
turbidity_wmth_max_4_6,5292.0,319.83526672713526,775.6302130963047,0.0,7.0920225,8.93245,16.89049,3841.37817
turbidity_wmth_max_min_4_6,5292.0,26.786355253212395,106.19008070437543,0.0,0.6888375000000004,1.33528,4.030009999999996,2038.93866
